"p1", "Unit 11-18", "Tamarind Suites, Persiaran Sepang, Cyberjaya, 63000, Selangor", "Tamarind Square", "Best Apartment", "Studio", "./src/photos/p1.png", "1100.0", "02/10/2020", "false", "o2", "[24-Hours Security, Parking, BBQ, Gymnasium, Jogging Track, Playground, Swimming Pool]"
"p3", "Villa 14", "Lakefront Residence, Cyberjaya, Persiaran Semarak Api, Cyberjaya, 63000, Selangor", "Lakefront Residence", "Best Bungalow", "Villa", "./src/photos/p1.png", "1500.0", "05/05/2019", "false", "o1", "[24-Hours Security, Parking, BBQ, Gymnasium, Jogging Track, Playground, Swimming Pool]"
"p4", "Unit 14-18", "Mutiara Ville, Cyberjaya, Persiaran Sepang Off Persiaran Multimedia, Cyberjaya, 63000, Selangor", "Mutiara Ville", "Best Apartment", "Condominium", "./src/photos/p1.png", "1500.0", "04/05/2020", "true", "a2", "[24-Hours Security, Parking, BBQ, Gymnasium, Jogging Track, Playground, Swimming Pool]"
"p6", "Unit 21-1", "Jalan CyberSquare", "Cyberville", "Nice Project with 2 bedrooms, 2 bathrooms", "Studio", "./src/photos/Screenshot 2021-01-27 at 3.41.12 PM.png", "1500.0", "29/01/2021", "false", "a1", "[Pool, Gym, Spa]"
"p7", "Until 11-11", "Jalan Cyberville", "Cybervillas", "Nice project with 2 rooms, 2 bathrooms", "Condominium", "./src/photos/Screenshot 2021-01-27 at 3.09.28 PM.png", "1500.0", "29/01/2021", "false", "o4", "[Pool, Gym, Spa]"
"p8", "dskgjdf", "jdgjkdfgj", "dgidfjogjo", "uighdiofgj", "Apartment", "./src/photos/Screenshot 2021-01-27 at 2.10.41 PM.png", "1500.0", "29/01/2021", "false", "o4", "[1,2,3]"
"p9", "2", "Jalan Duta", "Dutavillas", "2 Bedroom", "Bungalow", "./src/photos/Screenshot 2021-01-27 at 3.22.20 PM.png", "1600.0", "31/01/2021", "false", "o1", "[Pool,Gym,Spa]"
"p10", "Testing Property", "2, Testing Street", "Testing Project", "Nice Apartment", "Apartment", "./src/photos/Screenshot 2021-01-30 at 11.39.23 AM.png", "1600.0", "31/01/2021", "true", "o1", "[Pool,Gym]"
"p11", "jghdfhg", "rjhr", "jhg", "dfgjhdfjj", "Villa", "./src/photos/Screenshot 2021-01-30 at 11.06.55 AM.png", "1500.0", "31/01/2021", "false", "o1", "[a,b,c]"
"p12", "dfgdfgssdfsdgdfg", "sdfjgj", "dssndf", "nsjdkfjkd sdjf", "Villa", "./src/photos/Screenshot 2021-01-27 at 10.45.48 AM.png", "1700.0", "31/01/2021", "false", "o1", "[a,b,c]"
