"p0", "Unit 12-12", "Persiaran Multimedia", "Cybersquare", "2 bedrooms fully furnished", "Apartment", "./src/photos/cs1.png", "1800.0", "03/02/2021", "true", "o2", "[Gym,Pool,Security]"
"p1", "Unit 12-22", "Persiaran Multimedia", "CyberSquare", "fully furnished", "Studio", "./src/photos/cs2.png", "1100.0", "03/02/2021", "false", "o2", "[Gym,Pool,Security]"
"p2", "Unit 27-13", "Persiaran Semarak Api", "Lakefront", "2 bedrooms fully furnished plus microwave and rice cooker", "Apartment", "./src/photos/lf1.png", "1600.0", "03/02/2021", "false", "a1", "[Lakeview,Pool,Gym]"
"p3", "Unit 15-01", "Persiaran Multimedia", "Mutiara Ville", "3 bedrooms fully furnished pool view", "Apartment", "./src/photos/m1.png", "1900.0", "03/02/2021", "false", "a1", "[Pool,Gym,Supermarket]"
"p4", "Unit 01-01", "Persiaran Multimedia", "Mutiara Ville", "3 bedrooms fully furnished", "Apartment", "./src/photos/m2.png", "1700.0", "03/02/2021", "true", "a3", "[Pool,Gym,Garden]"
"p5", "Ville 11-11", " Persiaran Semarak Api", "Lakefront", "Large Ville 5 bedrooms", "Villa", "./src/photos/lf2.png", "2500.0", "03/02/2021", "true", "o4", "[Private-pool,Security,Gym]"
"p6", "Unit 20-13", "Tamarind Bldg Rd", "Tamarind Square", "Duplex studio", "Studio", "./src/photos/t2.png", "1200.0", "03/02/2021", "false", "a6", "[Balacony,Pool,Gym]"
"p7", "Unit 15-16", "Tamarind Bldg Rd", "Tamarind Square", "Studio semi furnished", "Studio", "./src/photos/t1.png", "1000.0", "03/02/2021", "false", "a6", "[Pool,Gym,Supermarket]"
"p8", "Unit 20-21", "Jalan Teknokrat 3", "Third Avenue", "Studio with Balacony and parking lot", "Studio", "./src/photos/th1.png", "1200.0", "03/02/2021", "false", "a6", "[Gym,Pool,Parking]"
"p9", "Unit 19-08", " Jalan Teknokrat 3", "Third Avenue", "3 bedrooms ", "Apartment", "./src/photos/th2.png", "900.0", "03/02/2021", "false", "o5", "[Gym,Pool,Securtiy]"
"p9", "Unit 19-08", " Jalan Teknokrat 3", "Third Avenue", "3 bedrooms ", "Apartment", "./src/photos/th2.png", "900.0", "03/02/2021", "false", "o5", "[Gym,Pool,Securtiy]"
